Sample,ken1,ken10,ken11,ken12,ken13,ken14,ken15,ken16,ken17,ken18,ken19,ken2,ken20,ken21,ken22,ken23,ken24,ken25,ken26,ken27,ken28,ken29,ken3,ken30,ken31,ken32,ken33,ken34,ken35,ken36,ken37,ken38,ken39,ken4,ken40,ken41,ken42,ken43,ken44,ken45,ken46,ken47,ken5,ken6,ken7,ken8,ken9
FM020_FM020,0.13976135572347842,0.1391741523801095,0.1398611814998991,0.13924603215428893,0.13989268289536694,0.13991323363812444,0.13985255398518068,0.14030203581710032,0.14103145991567254,0.140576087103994,0.1397724011703283,0.1389989360530195,0.13998390451810463,0.13997874221143397,0.1395718253227678,0.1400563854584451,0.14069452542802727,0.14102773921686598,0.14065645797223508,0.14024527761800773,0.14037251182368965,0.14093943153621538,0.13877588256012457,0.14101464060611651,0.13984357011066853,0.13946157250457789,0.14039842987958184,0.14025074233791637,0.13945457657383073,0.1410219159117091,0.14068440749742833,0.14090819856934536,0.14101518539396538,0.1391017464422808,0.13933502966658015,0.1388791228312553,0.13939219816815634,0.13906130514774598,0.13928348330699186,0.13927516442968693,0.1368162477460453,0.13204945949836142,0.13974928838928125,0.14016889616912298,0.13951165567843016,0.13966013723900034,0.14013153140920465
Iyai4b_Iyai4b,0.14971439217044863,0.14888109272811326,0.14995775230048503,0.1488347472357832,0.14966502729046066,0.14930742547603873,0.14959765697769423,0.15030604762852542,0.15094731554053456,0.15046766179781867,0.1497341585630768,0.1485798072628687,0.1496968261323855,0.14972923625153875,0.14921976419210065,0.14978765816985967,0.15076789200372168,0.15072049805812585,0.15085550330304462,0.15027191655600877,0.1509182233225402,0.1511414424618342,0.14865325942998867,0.1511423406929198,0.14990190192965394,0.14944718578525537,0.1504518291273982,0.15017432332993802,0.14959144054122742,0.15099544275446294,0.1504941796240375,0.15115872380143316,0.15088304010671966,0.14902744862536907,0.149387334412597,0.14903072584913724,0.14890475712513151,0.14884703505610225,0.14963811338507219,0.14927895602320637,0.14726991049700935,0.14243421927611746,0.14919787954169159,0.14948671323378904,0.14910815346556153,0.14927887536030637,0.149606739135495
Jomon_Jomon,0.13942974774860975,0.13901735708822505,0.13980822410348193,0.13845954388881776,0.13974840400618785,0.13911718620623484,0.13963953315625002,0.14007438208675912,0.1403680714928919,0.14051383714262594,0.13942337183154538,0.138171803596539,0.13933308874942857,0.13973470358297846,0.13926346959067284,0.13971992413083814,0.14055826675629138,0.14112827423101507,0.14078587217780156,0.1403278693593742,0.14041001120900518,0.1410122405346656,0.1386229972775251,0.14103040973589803,0.1397004423688825,0.13918835979838126,0.14059392901135975,0.13978596573486932,0.13950989513974096,0.14048817349393247,0.14053605737523195,0.14084190754952755,0.14061802851007746,0.13873104775287062,0.1392699184781779,0.13896035174721003,0.13927315368169235,0.13902421431650944,0.13971312046551104,0.13910093735294765,0.1369386717109241,0.13273006286956698,0.13930746138583822,0.13938050523699713,0.13923402532299722,0.1394190257988502,0.13975789387770488
Todo5_Todo5,0.14493981789780158,0.14438477074748496,0.1448977930356281,0.1440111328117519,0.14465855656528365,0.1444051540225974,0.14416211271421306,0.1453576280068588,0.14584123479113023,0.14562132945274422,0.14451556910861818,0.1437869133297958,0.14474591305322568,0.14478367127533884,0.14427968408361833,0.14502000751563743,0.14562593148006117,0.14565973633752582,0.1459560532975026,0.1455519842612179,0.14566866752018306,0.14609753281677185,0.14407059157731833,0.1456536080410596,0.144978105603898,0.14452549792194946,0.14506576146911898,0.14486879686216464,0.14429696589162802,0.14565238535461936,0.1456049071365989,0.14549212359081834,0.14607836431097046,0.14417375812891783,0.14414749033202848,0.1437515756063742,0.1439090485937193,0.1437545140201752,0.14475795550089698,0.14399743088885705,0.1419791216783868,0.1377452561967452,0.14459323784088907,0.14451997526299112,0.14420272325064545,0.14454378706752444,0.1450013940274133
