Sample,ken1,ken10,ken11,ken12,ken13,ken14,ken15,ken16,ken17,ken18,ken19,ken2,ken20,ken21,ken22,ken23,ken24,ken25,ken26,ken27,ken28,ken29,ken3,ken30,ken31,ken32,ken33,ken34,ken35,ken36,ken37,ken38,ken39,ken4,ken40,ken41,ken42,ken43,ken44,ken45,ken46,ken47,ken5,ken6,ken7,ken8,ken9
FM020_FM020,0.13244993202893302,0.13186269604298556,0.13278546472743796,0.13195452105329597,0.13249610972171544,0.1325313114961215,0.1323513320037408,0.133271480199549,0.13389609550015502,0.1336517652158722,0.1326242231810672,0.13173160259455705,0.1327556537719649,0.1327707579100827,0.1321425151592024,0.13291919246567147,0.1334598427929535,0.13378176715043813,0.13363542295795353,0.13306207232741332,0.13341761219781326,0.13390527643010933,0.13141305030115316,0.13386413877411085,0.13281520641203767,0.13211977523660792,0.13328873054389234,0.13306604015787377,0.1319233418388587,0.13386397500884967,0.13358261327053167,0.13394069869026284,0.13398348839596916,0.1318039735950538,0.131927963961546,0.13160917143912315,0.1320249691622741,0.1317987591038538,0.1319186110865873,0.1317697696440045,0.12922996296312037,0.12403089030530819,0.13266160750999056,0.13278020494748013,0.1319890619960337,0.13222913013059476,0.13259318762967365
Iyai4b_Iyai4b,0.135916629610799,0.1352794519690853,0.1361828723710061,0.13523933905181085,0.13585947034875281,0.13562134528782424,0.1358981373110145,0.1366489451628065,0.13721513668542726,0.13699409397486517,0.13591217800981018,0.13490371915727373,0.13589555609030443,0.13611474454464792,0.13546720099174828,0.13629846162830808,0.1369186616183125,0.13737559323033682,0.13704040546866722,0.13663480468646402,0.13709322233253748,0.1373054544671751,0.13470236337815078,0.13740049724248932,0.1363516763413589,0.13561272999051546,0.136957113582604,0.13647715654129475,0.1357078114069001,0.13727397252517384,0.13681345600966044,0.13748063348986525,0.13722312656121996,0.13529414754079688,0.13548461251822305,0.1353607927528096,0.1351110627489873,0.13509841444263293,0.13561400297631634,0.13534573747894793,0.13316030718415575,0.1279513384673517,0.1356805844279808,0.1356893388653304,0.13526391572555793,0.13554774594484092,0.13574271926264225
Jomon_Jomon,0.13522378253820416,0.1345804672930725,0.1355603966830089,0.1342676170149735,0.13526507548394198,0.13494442010853644,0.1351025954251574,0.13583316366667808,0.13610668832622155,0.13638959152723293,0.1350172950941463,0.13403533501347212,0.13516559784520607,0.13535825576031943,0.1349907805276114,0.1354618578939669,0.13598297529249112,0.13696893623551887,0.1363663028180427,0.1360719099699107,0.13621688231271156,0.13674246197677783,0.13442661351936824,0.13656329788145138,0.13544353303716547,0.1349371488383849,0.13615151871647513,0.1355125684151649,0.13502559074160916,0.13624132453815635,0.1363774350348525,0.13641964669347637,0.1366487083592545,0.1345981309810618,0.13485068572412892,0.13472861855956372,0.1346949554873241,0.1346909472150493,0.135350463554751,0.13469745761910917,0.13289826305517288,0.12810652480939688,0.13486079094252382,0.13497507992205376,0.13478468759542844,0.13494534949420922,0.13521185434852964
Todo5_Todo5,0.13493909795912662,0.13408287374459163,0.13496797292645227,0.13391929099182645,0.13439069066967507,0.13443923257975038,0.13432893169069296,0.13539052992724634,0.13586539077403378,0.1357004595518689,0.13460645198960675,0.13390910729133748,0.13459449418789804,0.1348142907158557,0.13406641758621304,0.13510511360591446,0.13553106660532727,0.13601539913028673,0.13588853732727793,0.13548306411167754,0.13562036991415843,0.13597423707171666,0.13360200423880728,0.1357654692798687,0.1349898793807286,0.1343962894817341,0.13520008252282525,0.13491476190503307,0.13398104149934234,0.13566343838679037,0.1356871206899477,0.1356993598470299,0.13614450608148396,0.13386519127045265,0.13385490659500868,0.13358975866611641,0.13389461421702914,0.13367783975605188,0.13434359824440648,0.133718210931916,0.13149654407650618,0.12649713049533082,0.13466955631686045,0.13432692238311744,0.13407356618113814,0.13442022150622912,0.13456641282073967
